Apprehension Site Landmark,county,flag
alamance county jail,alamance county,
"alamance county, nc",alamance county,
albemarle district jail,pasquotank county,
alexander county jail,alexander county,
"alexander county, nc",alexander county,
alleghany county jail,alleghany county,
"anson county, nc",anson county,
ashe county jail,ashe county,
"ashe county, nc",ashe county,
"asheboro, nc",asheboro county,
"asheville, nc",buncombe county,
avery county jail,avery county,
"avery county, nc",avery county,
beaufort county jail,beaufort county,
bertie county jail,bertie county,
bladen county jail,bladen county,
brunswick county,brunswick county,
brunswick county jail,brunswick county,
"brunswick county probataion govt. center dr. bolivia, nc",brunswick county,
buncombe county jail,buncombe county,
"buncombe county, nc",buncombe county,
burke county jail,burke county,
"burlington, nc",burlington county,
butner bop facility,granville county,
butner medical facility,granville county,
cabarrus co probation concord,cabarrus county,
cabarrus county jail,cabarrus county,
cabarrus county jail 287g,cabarrus county,
"cabarrus county, nc",cabarrus county,
caldwell county jail,caldwell county,
"caldwell county, nc",caldwell county,
carteret county jail,carteret county,
caswell county jail,caswell county,
"caswell county, nc",caswell county,
catawba co probation 26th st hickory,catawba county,
catawba county jail,catawba county,
"catawba county, nc",catawba county,
"ccn general area, cabarrus 287g",cabarrus county,
charlotte general area,mecklenburg county,
"chatham county, nc",chatham county,
cherokee county jail,cherokee county,
"cherokee county, nc",cherokee county,
chowan county jail,chowan county,
clay county jail,clay county,
cleveland county jail,cleveland county,
"cleveland county, nc",cleveland county,
columbus county fugitive operations,columbus county,
columbus county jail,columbus county,
"columbus county probation 110 w. smith st. whiteville, nc",columbus county,
"columbus county, nc",columbus county,
columbus doc,columbus county,
craven county jail,craven county,
cumberland county fugitive operations,cumberland county,
cumberland county jail,cumberland county,
currituck county jail,currituck county,
dare county fugitive operations,dare county,
dare county jail,dare county,
davidson co probation alma owens dr lexington,davidson county,
davidson county jail,davidson county,
"davidson county, nc",davidson county,
davie county jail,davie county,
"davie county, nc",davie county,
duplin county fugitive operations,duplin county,
duplin county jail,duplin county,
durham county fugitive operations,durham county,
durham county jail,durham county,
edgecomb county fugitive operations,edgecome county,
edgecomb county jail,edgecome county,
"edgecombe co probation rocky mount, nc",edgecome county,
ero charlotte,mecklenburg county,
field arrest,not provided,
forsyth county jail,forsyth county,
"forsyth county, nc",forsyth county,
franklin county fugitive operations,franklin county,
franklin county jail,franklin county,
gaston co probation w franklin blvd gastonia,gaston county,
gaston county jail 287g,gaston county,
"gaston county, nc",gaston county,
"gcn general area, gaston 287g",gaston county,
"graham, nc",alamance county,
granville county jail,granville county,
granville fugitive operations,granville county,
greene county jail,greene county,
"greensboro, nc",greensboro county,
"greenville, sc",DELETE,
"grn general area, non-specific",pitt county,best guess
"grr general area, non-specific",guilford county,best guess
guilford county jail greensboro,guilford county,
guilford county jail high point,guilford county,
"guilford county, nc",guilford county,
halifax county jail,halifax county,
harnett county fugitive operations,harnett county,
harnett county jail,harnett county,
haywood county jail,haywood county,
"hen general area, henderson 287g",henderson county,
"hen general area, non-specific",henderson county,
henderson co probation hendersonville,henderson county,
henderson county jail,henderson county,
henderson county jail 287g,henderson county,
"henderson county, nc",henderson county,
hertford county jail,hertford county,
"high point, nc",guilford county,
hoke county jail,hoke county,
"hoke county, nc",hoke county,
hyde county fugitive operations,hyde county,
iredell county jail,iredell county,
"iredell county, nc",iredell county,
jackson county jail,jackson county,
"jackson county, nc",jackson county,
johnston co probation berkshire rd smithfield,johnston county,
"johnston co probation clayton, nc",johnston county,
johnston county fugitive operations,johnston county,
johnston county jail,johnston county,
johnston county sheriff,johnston county,
lee county fugitive operations,lee county,
lee county jail,lee county,
"lee county, nc",lee county,
lenoir county fugitive operations,lenoir county,
lenoir county jail,lenoir county,
"lenoir, nc",lenoir county,
"lexington, nc",davidson county,
lincoln co probation lincolnton,licoln county,
lincoln county jail,licoln county,
"lincoln county, nc",licoln county,
macon county jail,macon county,
"macon county, nc",macon county,
"madison county, nc",madison county,
mcdowell county jail,mcdowell county,
"mcdowell county, nc",mcdowell county,
mecklenburg co probation e 4th st clt,mecklenburg county,
mecklenburg co probation exec ctr drive,mecklenburg county,
mecklenburg county jail,mecklenburg county,
"mecklenburg county, nc",mecklenburg county,
"mitchell county, nc",mitchell county,
montgomery county jail,montgomery county,
"montgomery county, nc",montgomery county,
moore county jail,moore county,
"moore county, nc",moore county,
"morganton, nc",burke county,
"mount airy, nc",surry county,
nash county fugitive operations,nash county,
nash county jail,nash county,
nc department of corrections,not listed,
nc dept of corrections facility,not listed,
new hanover county fugitive operations,new hanover county,
new hanover county jail,new hanover county,
"new hanover county, nc",new hanover county,
north-hampton county jail,north-hampton county,
onslow county jail,onslow county,
"onslow county, nc",onslow county,
orange county jail,orange county,
"orange county, nc",orange county,
pamlico county fugitive operations,pamlico county,
pamlico county jail,pamlico county,
pasquotank county jail,pasquotank county,
pender county fugitive operations,pender county,
pender county jail,pender county,
"pender county, nc",pender county,
pender doc,pender county,
person county fugitive operations,person county,
person county jail,person county,
"person county, nc",person county,
pitt county fugitive operations,pitt county,
pitt county jail,pitt county,
polk county jail,polk county,
randolph county jail,randolph county,
"randolph county, nc",randolph county,
"rdu general area, non-specific",wake county,
richmond county jail,richmond county,
"richmond county, nc",richmond county,
robeson county fugitive operations,robeson county,
robeson county jail,robeson county,
rockingham county jail,rockingham county,
"rockingham county, nc",rockingham county,
"rockingham, nc",unclear,
rowan county jail,rowan county,
"rowan county, nc",rowan county,
rutherford county jail,rutherford county,
sampson county fugitive operations,sampson county,
sampson county jail,sampson county,
sc. nc line from mecklenburg co e to richmond co; n to nc/va line,mecklenburg county,
scotland county jail,scotland county,
"sparta, nc",alleghany county,
"spartanburg, sc",DELETE,
stanley co probation 201 s 2nd st courthouse,stanley county,
stanley county jail,stanley county,
"stanley county, nc",stanley county,
"stokes county, nc",stokes county,
surry county jail,surry county,
"surry county, nc",surry county,
swain county jail,swain county,
tabor doc,columbus county,
"thomasville, nc",davidson county,
transylvania county jail,transylvania county,
tyrrell county fugitive operations,tyrrell county,
"union co probation monroe, nc",union county,
union county jail,union county,
"union county, nc",union county,
us marshalls,not provided,
vance co probation henderson,vance county,
vance county fugitive operations,vance county,
vance county jail,vance county,
wake co probation 316 fayetteville st raleigh,wake county,
"wake co probation garner, nc",wake county,
wake county fugitive operations,wake county,
wake county jail,wake county,
warren county jail,warren county,
washington county fugitive operations,washington county,
watauga county jail,watauga county,
"watauga county, nc",watauga county,
wayne county fugitive operations,wayne county,
wayne county jail,wayne county,
wayne county probtation goldsboro nc,wayne county,
"wil general area, non-specific",new hanover county,best guess
wilkes county jail,wilkes county,
"wilkes county jail, nc",wilkes county,
"wilkes county, nc",wilkes county,
"wilson co probation wilson, nc",wilson county,
wilson county fugitive operations,wilson county,
wilson county jail,wilson county,
"winston-salem, nc",forsyth county,
yadkin county jail,yadkin county,
"yadkin county, nc",yadkin county,
"yadkinville, nc",yadkin county,
yancey county jail,yancey county,